file;na;r;R;mpif;model;na;sol;z;bestlp;root;cuts;cuts;cuts;cuts;nodecount;time;status;gap
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;34682;34682;34682;0;0;0;0;0;0;0.035103;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;45372;45372;45372;0;0;0;0;0;0;0.035668;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;174050;174050;174050;0;0;0;0;0;0;0.233362;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;220414;220414;220414;0;0;0;0;0;0;0.243588;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;354048;354048;354048;0;0;0;0;0;0;0.414806;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;445795;445795;445795;0;0;0;0;0;0;0.489733;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;1786276;1786276;1786276;0;0;0;0;0;0;9.833922;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;2231812;2231812;2231812;0;0;0;0;0;0;10.221225;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;3575217;3575217;3575217;0;0;0;0;0;0;49.963198;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;4473082;4473082;4473082;0;0;0;0;0;0;55.402785;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;34682;34682;34682;0;0;0;0;0;0;0.75197;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;45372;45372;45372;0;0;0;0;0;0;0.49199;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;174050;174050;174050;0;0;0;0;0;0;1.74975;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;220414;220414;220414;0;0;0;0;0;0;1.103459;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;354048;354048;354048;0;0;0;0;0;0;3.510958;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;445795;445795;445795;0;0;0;0;0;0;1.924348;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;1786276;1786276;1786276;0;0;0;0;0;0;44.605264;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;2231812;2231812;2231812;0;0;0;0;0;0;13.728686;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;3575217;3575217;3575217;0;0;0;0;0;0;199.460309;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;MZ; nobenders ;4473082;4473082;4473082;0;0;0;0;0;0;58.57986;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;34682;34682;34682;34682;16;21;0;0;0;0.005863;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;45372;45372;45372;45372;8;7;0;0;0;0.00331;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;174050;174050;174050;174050;15;26;0;0;0;0.013684;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;220414;220414;220414;220414;8;8;0;0;0;0.006315;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;354048;354048;354048;354048;16;18;0;0;0;0.02583;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;445795;445795;445795;445795;8;11;0;0;0;0.012785;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;1786276;1786276;1786276;1786276;17;27;0;0;0;0.260745;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;2231812;2231812;2231812;2231812;8;9;0;0;0;0.091571;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;3575217;3575217;3575217;3575217;17;27;0;0;0;0.68501;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NZ; nobenders ;4473082;4473082;4473082;4473082;8;9;0;0;0;0.265358;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NT; nobenders ;34682;34682;34682;0;18;5;2;0;0;0.001805;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NT; nobenders ;45372;45372;45372;0;8;5;1;0;0;0.001841;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NT; nobenders ;174050;174050;174050;0;19;5;2;0;0;0.003297;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NT; nobenders ;220414;220414;220414;0;8;5;1;0;0;0.003529;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NT; nobenders ;354048;354048;354048;0;19;5;2;0;0;0.005228;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NT; nobenders ;445795;445795;445795;0;8;5;1;0;0;0.003961;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NT; nobenders ;1786276;1786276;1786276;0;19;5;2;0;0;0.020318;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NT; nobenders ;2231812;2231812;2231812;0;8;5;1;0;0;0.013494;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NT; nobenders ;3575217;3575217;3575217;0;19;5;2;0;0;0.038694;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NT; nobenders ;4473082;4473082;4473082;0;8;5;1;0;0;0.025308;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;8665;8665;6303.57614;0;0;0;0;0;208700;3599.854812;lpstatus: 107;0.272524392
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;12863;12863;9176.844734;0;0;0;0;0;274349;3599.851057;lpstatus: 107;0.286570416
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;60486;60486;32544.42796;0;0;0;0;0;231135;3599.83304;lpstatus: 107;0.461951064
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;62889;62889;38918.32067;0;0;0;0;0;137062;3599.847074;lpstatus: 107;0.381158539
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;122227;122227;61237.45584;0;0;0;0;0;112403;3599.786737;lpstatus: 107;0.498985856
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;126665;126665;74031.48639;0;0;0;0;0;143795;3599.806035;lpstatus: 107;0.415533207
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;2183420;2183420;273045.1895;0;0;0;0;0;1284;3599.831739;lpstatus: 107;0.874946099
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;2260723;2260723;333415.0414;0;0;0;0;0;1048;3599.81119;lpstatus: 107;0.852518402
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;4557253;4557253;569737.8472;0;0;0;0;0;493;3599.7955;lpstatus: 107;0.874982177
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;4156505;4156505;668137.2542;0;0;0;0;0;225;3599.752796;lpstatus: 107;0.839255034
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;9900;9900;5204.229167;0;0;0;0;0;3571;3599.812733;lpstatus: 107;0.474320286
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;13460;13460;8540.00169;0;0;0;0;0;2100;3599.864645;lpstatus: 107;0.365527363
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;72622;72622;28927.2899;0;0;0;0;0;1440;3599.892366;lpstatus: 107;0.601673186
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;70089;70089;37954.72804;0;0;0;0;0;2415;3599.778927;lpstatus: 107;0.458478106
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;180506;180506;55085.13623;0;0;0;0;0;480;3599.838667;lpstatus: 107;0.694829334
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;186748;186748;68449.23333;0;0;0;0;0;431;3599.779208;lpstatus: 107;0.633467382
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;2204426;2204426;280460.9022;0;0;0;0;0;68;3599.831484;lpstatus: 107;0.872773728
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;2397934;2397934;333826.8864;0;0;0;0;0;33;3599.855044;lpstatus: 107;0.860785624
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;4411419;4411419;583183.9;0;0;0;0;0;4;3599.990903;lpstatus: 107;0.86780129
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;4649591;4649591;666647.4167;0;0;0;0;0;15;3599.880753;lpstatus: 107;0.856622353
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;8665;8665;8665;6384;20;4120;0;0;147368;534.379773;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;12863;12863;12861.71429;13539;20;7732;0;0;658541;3143.505773;lpstatus: 102;9.99544E-05
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;56914;56914;46945.25;36654;20;5133;0;0;141724;3599.795727;lpstatus: 107;0.175154619
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;65781;65781;41692.67046;113675;20;7214;0;0;80645;3599.792804;lpstatus: 107;0.366189774
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;116833;116833;84469;74452;20;4788;0;0;57131;3599.836477;lpstatus: 107;0.277010776
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;169036;169036;77382.6;106177;20;4613;0;0;205840;3599.828773;lpstatus: 107;0.54221231
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;2315205;0;253494.75;342448;2;209;0;0;4793;3599.837828;lpstatus: 107;0.890508724
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;2398194;0;332814.1429;1201666;2;227;0;0;3600;3599.83625;lpstatus: 107;0.861223011
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;4635708;0;504514;672236;2;239;0;0;658;3599.821995;lpstatus: 107;0.891167865
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NZ; nobenders ;4814636;0;670325.9;2279192;2;66;0;0;300;3599.827712;lpstatus: 107;0.860773296
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NT; nobenders ;9462;9462;5309.406184;0;20;8207;1050;0;392929;3600;lpstatus: 107;0.438870621
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NT; nobenders ;67591;67591;31572.5031;0;20;15239;1219;0;214263;3600;lpstatus: 107;0.532888948
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NT; nobenders ;115987;115987;60860.03226;0;20;10090;2021;0;286367;3600;lpstatus: 107;0.475285745
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NT; nobenders ;135378;135378;63179.42951;0;20;14123;1061;0;228077;3600;lpstatus: 107;0.533310955
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NT; nobenders ;1445833;1445833;621836.9219;0;20;14323;1351;0;229852;3600;lpstatus: 107;0.569910963
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;529;529;37.563118;0;0;0;0;0;436472;3599.853626;lpstatus: 107;0.928992216
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;2945;2945;779.10174;0;0;0;0;0;360400;3599.866325;lpstatus: 107;0.735449324
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;4079;4079;95.660621;0;0;0;0;0;152873;3599.843943;lpstatus: 107;0.976548021
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;18140;18140;4179;0;0;0;0;0;121775;3599.859896;lpstatus: 107;0.769625138
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;7364;7364;33.666711;0;0;0;0;0;75554;3599.859285;lpstatus: 107;0.995428203
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;39029;39029;9779;0;0;0;0;0;131251;3599.844222;lpstatus: 107;0.749442722
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;324238;324238;0;0;0;0;0;0;15806;3599.886498;lpstatus: 107;1
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;435090;435090;46698;0;0;0;0;0;15488;3599.898673;lpstatus: 107;0.892670482
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;461142;461142;0;0;0;0;0;0;8360;3599.881239;lpstatus: 107;1
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;2134542;2134542;91484;0;0;0;0;0;4007;3599.847381;lpstatus: 107;0.957141157
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;5790;5790;0;0;0;0;0;0;600;3599.882431;lpstatus: 107;1
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;12018;12018;779;0;0;0;0;0;600;3599.896931;lpstatus: 107;0.935180562
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;74452;74452;0;0;0;0;0;0;554;3599.899841;lpstatus: 107;1
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;130604;130604;4179;0;0;0;0;0;880;3599.904631;lpstatus: 107;0.968002511
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;167266;167266;0;0;0;0;0;0;63;3599.868429;lpstatus: 107;1
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;129056;129056;9779;0;0;0;0;0;62;3599.896658;lpstatus: 107;0.924226692
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;2114691;2114691;0;0;0;0;0;0;684;3599.907491;lpstatus: 107;1
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;1611505;1611505;46698;0;0;0;0;0;24;3599.867382;lpstatus: 107;0.971022119
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;3186877;3186877;0;0;0;0;0;0;7;3599.933879;lpstatus: 107;1
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;MZ; nobenders ;4461023;4461023;91484;0;0;0;0;0;9;3599.968511;lpstatus: 107;0.979492596
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;529;529;529;0;20;3724;0;0;364147;705.776791;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;2785;2785;1136.875;779;20;8717;0;0;587851;3599.852087;lpstatus: 107;0.591786355
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;3862;3862;2988.423077;0;20;3432;0;0;376560;3599.833231;lpstatus: 107;0.226198064
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;15494;15494;5162.5;4179;20;9547;0;0;152779;3599.858975;lpstatus: 107;0.666806506
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;8752;8752;3094.6;0;20;3637;0;0;116777;3599.870154;lpstatus: 107;0.646412249
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;33074;33074;11067.18919;9779;20;8856;0;0;72501;3599.843746;lpstatus: 107;0.665380988
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;154043;154043;111.125;0;20;1814;0;0;17277;3599.849868;lpstatus: 107;0.999278611
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;2288959;0;46698;46698;2;3093;0;0;17421;3599.861244;lpstatus: 107;0.979598586
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;4253531;0;52;0;2;451;0;0;8892;3599.864804;lpstatus: 107;0.999987775
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NZ; nobenders ;999661;999661;91484;91484;20;1550;0;0;6227;3599.857515;lpstatus: 107;0.908484976
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NT; nobenders ;543;543;214.458555;0;20;4271;78;0;993556;3600;lpstatus: 107;0.605048702
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NT; nobenders ;2990;2990;101.891773;0;20;11910;208;0;358299;3600;lpstatus: 107;0.965922484
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NT; nobenders ;3906;3906;1870.802974;0;20;4575;231;0;997670;3600;lpstatus: 107;0.521043785
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NT; nobenders ;16127;16127;1102.424923;0;20;11714;247;0;378208;3600;lpstatus: 107;0.931641042
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NT; nobenders ;7364;7364;4644.053013;0;20;5425;334;0;1161176;3599.655581;lpstatus: 107;0.369357277
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NT; nobenders ;32893;32893;1388.977567;0;20;12759;250;0;316227;3600;lpstatus: 107;0.957772852
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NT; nobenders ;40713;40713;19190.77993;0;20;5001;234;0;1022107;3600;lpstatus: 107;0.528632625
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NT; nobenders ;154085;154085;8890.002835;0;20;11517;236;0;349873;3600;lpstatus: 107;0.942304554
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NT; nobenders ;77635;77635;22442.1875;0;20;6042;176;0;756333;3600;lpstatus: 107;0.710926934
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NT; nobenders ;351590;351590;8242.651968;0;20;12433;285;0;315485;3600;lpstatus: 107;0.976556068
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;29813;29813;29813;0;0;0;0;0;0;0.076489;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;43575;43575;43575;0;0;0;0;0;0;0.046058;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;145576;145576;145576;0;0;0;0;0;0;0.336406;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;208876;208876;208876;0;0;0;0;0;0;0.424559;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;294540;294540;294540;0;0;0;0;0;0;0.717288;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;422724;422724;422724;0;0;0;0;0;0;1.041961;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;1484139;1484139;1484139;0;0;0;0;0;0;19.24786;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;2114746;2114746;2114746;0;0;0;0;0;0;28.04458;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;2962951;2962951;2962951;0;0;0;0;0;0;100.924879;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;4241627;4241627;4241627;0;0;0;0;0;0;151.107223;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;29813;29813;29813;0;0;0;0;0;0;0.484986;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;43575;43575;43575;0;0;0;0;0;0;0.565961;lpstatus: 101;0
