file;na;r;R;mpif;model;na;sol;z;bestlp;root;cuts;cuts;cuts;cuts;nodecount;time;status;gap
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;145576;145576;145576;0;0;0;0;0;0;1.099373;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;208876;208876;208876;0;0;0;0;0;0;1.167387;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;294540;294540;294540;0;0;0;0;0;0;1.81962;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;422724;422724;422724;0;0;0;0;0;0;1.946483;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;1484139;1484139;1484139;0;0;0;0;0;0;19.836012;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;2114746;2114746;2114746;0;0;0;0;0;0;22.441526;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;2962951;2962951;2962951;0;0;0;0;0;0;75.861583;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;MZ; nobenders ;4241627;4241627;4241627;0;0;0;0;0;0;85.735803;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;29813;29813;29813;29813;14;20;0;0;0;0.008196;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;43575;43575;43575;43575;6;4;0;0;0;0.002373;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;145576;145576;145576;145576;15;20;0;0;0;0.0202;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;208876;208876;208876;208876;6;4;0;0;0;0.008012;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;294540;294540;294540;294540;16;27;0;0;0;0.040356;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;422724;422724;422724;422724;6;5;0;0;0;0.018302;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;1484139;1484139;1484139;1484139;16;27;0;0;0;0.375352;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;2114746;2114746;2114746;2114746;6;5;0;0;0;0.141056;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;2962951;2962951;2962951;2962951;16;27;0;0;0;0.915173;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NZ; nobenders ;4241627;4241627;4241627;4241627;6;5;0;0;0;0.371444;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;29813;29813;29813;0;16;11;3;0;0;0.00255;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NT; nobenders ;43575;43575;43575;0;8;5;1;0;0;0.001812;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;145576;145576;145576;0;15;5;2;0;0;0.00454;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NT; nobenders ;208876;208876;208876;0;8;5;1;0;0;0.003829;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;294540;294540;294540;0;15;10;2;0;0;0.007342;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NT; nobenders ;422724;422724;422724;0;8;5;1;0;0;0.005246;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;1484139;1484139;1484139;0;16;10;3;0;0;0.038135;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NT; nobenders ;2114746;2114746;2114746;0;8;5;1;0;0;0.019216;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NT; nobenders ;2962951;2962951;2962951;0;18;11;3;0;0;0.073879;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NT; nobenders ;4241627;4241627;4241627;0;8;5;1;0;0;0.036959;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NT; nobenders ;14361;14361;7016.888402;0;20;15042;791;0;222100;3600;lpstatus: 107;0.511392772
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NT; nobenders ;59301;59301;30984.79075;0;20;9511;1997;0;290780;3600;lpstatus: 107;0.477499692
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NT; nobenders ;615490;615490;306292.1728;0;20;10089;2164;0;284387;3600;lpstatus: 107;0.50236044
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NT; nobenders ;672561;672561;330036.9946;0;20;14933;1100;0;225713;3600;lpstatus: 107;0.509283181
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NT; nobenders ;0;0;0;0;0;0;0;0;0;3600;lpstatus: 108;1
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;34682;34682;34682;0;18;5;2;0;0;0.00338;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;45372;45372;45372;0;8;5;1;0;0;0.003582;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;174050;174050;174050;0;19;5;2;0;0;0.003583;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;220414;220414;220414;0;8;5;1;0;0;0.00287;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;354048;354048;354048;0;19;5;2;0;0;0.005645;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;445795;445795;445795;0;8;5;1;0;0;0.004289;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;1786276;1786276;1786276;0;19;5;2;0;0;0.020859;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;2231812;2231812;2231812;0;8;5;1;0;0;0.013838;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;3575217;3575217;3575217;0;19;5;2;0;0;0.040028;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;4; CPIF ;NTUser; nobenders ;4473082;4473082;4473082;0;8;5;1;0;0;0.025994;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;9135;9135;5035.651299;0;20;7363;743;1;454254;2101.011343;lpstatus: 107;0.44875191
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;65763;65763;33548.90521;15263.94958;20;14498;751;9;240778;2076.222089;lpstatus: 107;0.489851357
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;116849;116849;65680.99422;0;20;9311;1983;7;308424;1892.862408;lpstatus: 107;0.437898534
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;131098;131098;65856.81846;0;20;13001;736;1;260672;2292.525967;lpstatus: 107;0.497651997
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;1329743;1329743;702899.0093;277594.6123;20;13671;960;8;233917;2297.498622;lpstatus: 107;0.471402362
n100_m1000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;543;543;214.336056;0;20;4271;78;0;992371;2077.26199;lpstatus: 107;0.605274298
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;2990;2990;103.406384;0;20;11910;208;0;359181;2641.333215;lpstatus: 107;0.965415925
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;4367;4367;750.596555;0;20;5440;167;1;796503;2392.03748;lpstatus: 107;0.82812078
n100_m5000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;15108;15108;1395.566396;0;20;11973;203;1;361761;2640.066156;lpstatus: 107;0.907627324
n100_m10000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;7122;7122;2158.815197;0;20;4866;139;1;952217;2187.551356;lpstatus: 107;0.696880764
n100_m10000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;32893;32893;1384.978883;0;20;12759;250;0;316003;2497.303088;lpstatus: 107;0.957894419
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;40079;40079;19395.96645;0;20;5865;250;1;870121;2771.979959;lpstatus: 107;0.516056627
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;162459;162459;12433.80754;0;20;11824;262;2;353813;2606.883461;lpstatus: 107;0.923464951
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;77635;77635;22283.18735;0;20;6042;176;0;752063;2614.86067;lpstatus: 107;0.712974981
n100_m100000_d1_100_f1_1_s5.dat; NA ;5.5;6; CPIF ;NTUser; nobenders ;316135;316135;51172.2085;0;20;11692;304;1;363267;2722.346326;lpstatus: 107;0.838131784
n100_m1000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;29813;29813;29813;0;16;11;3;0;0;0.019147;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;43575;43575;43575;0;8;5;1;0;0;0.0047;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;145576;145576;145576;0;15;5;2;0;0;0.004544;lpstatus: 101;0
n100_m5000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;208876;208876;208876;0;8;5;1;0;0;0.003305;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;294540;294540;294540;0;15;10;2;0;0;0.007257;lpstatus: 101;0
n100_m10000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;422724;422724;422724;0;8;5;1;0;0;0.005007;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;1484139;1484139;1484139;0;16;10;3;0;0;0.038267;lpstatus: 101;0
n100_m50000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;2114746;2114746;2114746;0;8;5;1;0;0;0.020533;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s1.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;2962951;2962951;2962951;0;18;11;3;0;0;0.074451;lpstatus: 101;0
n100_m100000_d1_100_f1_1_s5.dat; NA ;3.4;6; CPIF ;NTUser; nobenders ;4241627;4241627;4241627;0;8;5;1;0;0;0.038622;lpstatus: 101;0
n100_m1000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;13868;13868;7429.270862;0;20;14340;873;2;242170;2295.966875;lpstatus: 107;0.464286785
n100_m5000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;58030;58030;31352.18203;2167.607041;20;8084;2320;7;318720;2163.565923;lpstatus: 107;0.45972459
n100_m50000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;601702;601702;308749.031;7103.373174;20;9033;2031;8;296888;1756.917574;lpstatus: 107;0.48687385
n100_m50000_d1_100_f1_1_s5.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;687365;687365;333274.6493;0;20;16588;943;3;221963;2377.981342;lpstatus: 107;0.515141665
n100_m100000_d1_100_f1_1_s1.dat; NA ;5.5;4; CPIF ;NTUser; nobenders ;1211934;1211934;600155.3727;105954.9919;20;9606;1944;8;293770;1922.691271;lpstatus: 107;0.504795333
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;344;344;344;0;0;0;0;0;0;0.063898; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;3058;3058;3058;0;0;0;0;0;0;0.036562; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;2186;2186;2186;0;0;0;0;0;0;0.108327; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;12567;12567;12567;0;0;0;0;0;0;0.121887; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;4831;4831;4831;0;0;0;0;0;0;0.214204; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;24604;24604;24604;0;0;0;0;0;0;0.181694; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;24088;24088;24088;0;0;0;0;0;0;2.656273; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;118393;118393;118393;0;0;0;0;0;0;2.607016; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;47978;47978;47978;0;0;0;0;0;0;3.764762; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;SZ; nobenders ;235567;235567;235567;0;0;0;0;0;0;4.745507; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;0;0;0;0;0;0;0;0;0;0.050131; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;779;779;779;0;0;0;0;0;0;0.039151; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;0;0;0;0;0;0;0;0;0;0.099542; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;4179;4179;4179;0;0;0;0;0;0;0.108864; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;0;0;0;0;0;0;0;0;0;1.363972; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;9779;9779;9779;0;0;0;0;0;0;2.966993; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;0;0;0;0;0;0;0;0;0;12.658813; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;46698;46698;46698;0;0;0;0;0;0;15.211876; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;0;0;0;0;0;0;0;0;0;31.012203; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat; NA ;5.5;6; CPIF ;SZ; nobenders ;91484;91484;91484;0;0;0;0;0;0;15.19978; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;34682;34682;34682;0;0;0;0;0;0;0.034382; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;45372;45372;45372;0;0;0;0;0;0;0.031347; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;174050;174050;174050;0;0;0;0;0;0;0.232281; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;220414;220414;220414;0;0;0;0;0;0;0.25986; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;354048;354048;354048;0;0;0;0;0;0;0.421819; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;445795;445795;445795;0;0;0;0;0;0;0.488344; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;1786276;1786276;1786276;0;0;0;0;0;0;8.119524; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;2231812;2231812;2231812;0;0;0;0;0;0;10.319574; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;3575217;3575217;3575217;0;0;0;0;0;0;50.294836; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat; NA ;3.4;4; CPIF ;SZ; nobenders ;4473082;4473082;4473082;0;0;0;0;0;0;54.497789; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;29813;29813;29813;0;0;0;0;0;0;0.040605; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;43575;43575;43575;0;0;0;0;0;0;0.045977; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;145576;145576;145576;0;0;0;0;0;0;0.328895; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;208876;208876;208876;0;0;0;0;0;0;0.396588; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;294540;294540;294540;0;0;0;0;0;0;0.697857; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;422724;422724;422724;0;0;0;0;0;0;1.054237; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;1484139;1484139;1484139;0;0;0;0;0;0;20.195025; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;2114746;2114746;2114746;0;0;0;0;0;0;27.936164; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m100000_d1_100_f10_100_s1.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;2962951;2962951;2962951;0;0;0;0;0;0;100.830719; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m100000_d1_100_f10_100_s5.dat; NA ;3.4;6; CPIF ;SZ; nobenders ;4241627;4241627;4241627;0;0;0;0;0;0;140.650068; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;344;344;344;0;0;0;0;0;0;32.232243; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m1000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;3058;3058;3058;0;0;0;0;0;0;58.772614; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;2186;2186;2186;0;0;0;0;0;0;39.913348; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m5000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;12567;12567;12567;0;0;0;0;0;0;36.884505; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;4831;4831;4831;0;0;0;0;0;0;37.045643; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m10000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;24604;24604;24604;0;0;0;0;0;0;65.159977; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s1.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;24088;24088;24088;0;0;0;0;0;0;46.497277; lpstatus: 101;0
PSCLP_INSTANCES/GRID_PSCLP_n100_m50000_d1_100_f10_100_s5.dat; NA ;5.5;4; CPIF ;MZ; nobenders ;118393;118393;118393;0;0;0;0;0;0;40.879376; lpstatus: 101;0
